Account Type,Affiliated Account,Mdm Id (Hospital Name.csv),HCPs Count
HCO,Mayo Clinic - Phoenix,10011917,26
HCO,Barnes-Jewish Hospital,10019755,24
HCO,NYU Langone Hospitals,10009362,12
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10020476,18
HCO,Brigham And Women's Hospital,10011931,29
HCO,Baylor University Medical Center,10009824,27
HCO,Ronald Reagan UCLA Medical Center,10010433,18
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10020364,26
HCO,UAB Hospital,10019720,24
HCO,Tufts Medical Center,10020119,28
HCO,University of Wisconsin Hospitals,10019307,17
HCO,Mayo Clinic - Rochester,10019419,26
HCO,Northwestern Memorial Hospital,10010797,31
HCO,Emory University Hospital,10018838,32
HCO,UT Southwestern Medical Center,10019265,28
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10010461,26
HCO,Mayo Clinic - Phoenix,10009488,26
HCO,The Johns Hopkins Hospital,10012057,30
HCO,Ohio State University Wexner Medical Center,10019041,24
HCO,Vanderbilt University Medical Center,10018957,27
HCO,Mayo Clinic - Phoenix,10010230,26
HCO,"University of California, Davis Medical Center",10018761,57
HCO,New York-Presbyterian Hospital-Columbia and Cornell,10011007,18
HCO,Vanderbilt University Medical Center,10010958,27
HCO,UCLA Medical Center - Santa Monica ,10010755,36
HCO,Mayo Clinic - Rochester,10010048,26
HCO,Northwestern Memorial Hospital,10010377,31
HCO,Duke University Hospital,10018719,27
HCO,University Hospitals Cleveland Medical Center,10021062,34
HCO,Ohio State University Wexner Medical Center,10011189,24
HCO,The Mount Sinai Hospital,10011938,23
HCO,Keck Hospital of USC,10020035,36
HCO,"University of California, Davis Medical Center",10010440,57
HCO,Morristown Medical Center,10011014,29
HCO,Stanford Health Care-Stanford Hospital,10019916,22
HCO,UCLA Medical Center - Santa Monica ,10019839,36
HCO,Scripps La Jolla Hospitals,10009159,16
HCO,University of Kansas Hospital,10020063,26
HCO,NYU Langone Hospitals,10020574,12
HCO,UT Southwestern Medical Center,10020714,28
HCO,Emory University Hospital,10009110,32
HCO,University Hospitals Cleveland Medical Center,10018229,34
HCO,University Hospitals Cleveland Medical Center,10009775,34
HCO,Torrance Memorial Medical Center,10021104,24
HCO,The Johns Hopkins Hospital,10021118,30
HCO,Hospitals of the University of Pennsylvania - Penn Presbyterian,10021251,26
HCO,University of Colorado Hospital,10010279,22
HCO,Barnes-Jewish Hospital,10019013,24
HCO,Jefferson Health-Thomas Jefferson University Hospitals,10020245,28
