SiteName,GeoID,GeoName,LoadDate,ProductID,Channel,SiteVisit,Bounce,SessionDuration(sec),PageView,AudioComplete,PDFDownload,SignupAttemps,StartDate,EndDate,TimeBucket
www.gov.in,1,India,2-Jul-21,1002345,Direct,551,409,52,33,14,17,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Apr-21,1002345,Direct,562,412,51,36,1,10,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,20-Sep-21,1002345,Display,561,408,48,34,13,11,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Aug-21,1002345,Display,551,417,72,30,4,13,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-Sep-21,1002345,Direct,552,411,99,35,6,11,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Jun-21,1002345,Direct,552,421,58,34,2,12,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,28-Apr-21,1002345,Direct,561,403,51,28,9,7,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,25-May-21,1002345,refferal,564,426,49,40,6,15,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,3-Sep-21,1002345,refferal,572,404,112,37,5,2,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,10-Apr-21,1002345,Display,578,409,76,31,15,15,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,29-May-21,1002345,Direct,571,400,103,28,10,4,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,21-Oct-21,1002345,refferal,570,417,65,40,2,6,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,30-Sep-21,1002345,Direct,563,424,80,39,4,17,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,29-Jun-21,1002345,refferal,557,411,116,21,4,9,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-May-21,1002345,refferal,567,408,102,26,12,5,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,21-May-21,1002345,refferal,573,409,71,21,2,10,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,20-Aug-21,1002345,refferal,580,405,95,31,12,13,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Aug-21,1002345,Display,566,413,98,29,5,10,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,29-Jul-21,1002345,Display,557,411,97,38,2,15,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,5-Aug-21,1002345,refferal,579,428,119,29,13,14,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Jan-21,1002345,Display,553,417,80,29,13,3,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,13-Jun-21,1002345,refferal,553,415,114,25,6,17,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Dec-21,1002345,Display,567,423,75,28,10,4,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,27-Aug-21,1002345,Direct,576,428,61,32,15,11,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Apr-21,1002345,Direct,568,418,118,31,12,10,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Aug-21,1002345,Direct,580,405,68,30,3,17,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,20-Jul-21,1002345,Direct,555,427,65,36,15,15,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,7-Dec-21,1002345,Direct,578,415,50,36,7,10,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Dec-21,1002345,Direct,573,429,95,38,14,14,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,3-Sep-21,1002345,Direct,573,430,86,32,12,3,10,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Aug-21,1002345,Display,572,410,97,21,12,10,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Oct-21,1002345,Direct,576,420,78,36,6,8,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Nov-21,1002345,Direct,552,427,73,37,14,14,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Oct-21,1002345,refferal,572,400,60,32,5,17,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,16-Oct-21,1002345,Display,579,403,75,36,13,17,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-May-21,1002345,Display,574,419,83,23,13,14,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,7-Jan-21,1002345,Direct,577,410,110,30,13,4,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,20-May-21,1002345,Direct,559,423,110,39,2,8,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Jan-21,1002345,refferal,573,421,62,25,4,1,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,11-Apr-21,1002345,Direct,570,406,31,24,3,16,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,28-Oct-21,1002345,Display,556,428,110,39,1,7,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,10-Jul-21,1002345,refferal,576,421,118,30,10,18,1,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-Dec-21,1002345,Direct,578,425,101,20,7,4,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,28-Jan-21,1002345,refferal,573,405,37,37,6,18,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,13-Jul-21,1002345,Display,567,412,71,21,5,12,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Jun-21,1002345,Display,578,412,56,37,11,16,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,13-Nov-21,1002345,Display,576,411,118,33,5,11,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Apr-21,1002345,Display,575,429,42,40,13,11,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Jul-21,1002345,Direct,579,405,60,21,2,10,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,24-Apr-21,1002345,Display,570,418,91,38,11,10,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,14-May-21,1002345,Display,565,408,64,21,16,11,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,10-Oct-21,1002345,refferal,552,426,99,33,15,15,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,28-May-21,1002345,Direct,570,408,119,39,12,17,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,31-Mar-21,1002345,refferal,552,408,70,29,9,10,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Aug-21,1002345,Direct,578,401,83,35,3,9,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Jul-21,1002345,refferal,551,419,63,32,8,18,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,27-Feb-21,1002345,refferal,559,429,35,20,14,15,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Jun-21,1002345,Display,562,421,50,37,8,5,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,11-Jan-21,1002345,refferal,552,411,40,29,16,7,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,20-Nov-21,1002345,Direct,578,416,98,29,4,11,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-May-21,1002345,Direct,567,413,94,37,5,12,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Mar-21,1002345,refferal,569,414,107,31,13,2,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,3-Jul-21,1002345,Display,554,417,106,27,14,1,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-Aug-21,1002345,refferal,557,411,51,40,13,4,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,22-Nov-21,1002345,Display,552,413,45,28,12,9,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Sep-21,1002345,Display,559,426,49,35,15,5,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Apr-21,1002345,Direct,564,425,113,20,6,6,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-May-21,1002345,Direct,553,425,45,38,16,2,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,5-Sep-21,1002345,Direct,580,414,73,27,2,4,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,23-May-21,1002345,Display,561,409,91,37,14,10,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,27-May-21,1002345,refferal,578,424,118,30,4,8,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,5-Jul-21,1002345,refferal,558,423,86,32,6,15,1,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-Mar-21,1002345,refferal,557,412,112,40,1,13,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,30-Apr-21,1002345,refferal,573,425,115,37,14,2,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,11-Dec-21,1002345,Display,563,410,54,36,3,5,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-Nov-21,1002345,refferal,562,412,65,34,14,9,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,30-Jan-21,1002345,refferal,563,414,98,26,2,6,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Nov-21,1002345,refferal,569,413,64,26,6,7,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Jun-21,1002345,Direct,570,422,33,26,16,9,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,17-Aug-21,1002345,refferal,579,411,103,38,10,7,5,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,4-Jul-21,1002345,refferal,569,425,118,29,14,17,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Oct-21,1002345,Direct,552,411,100,40,12,5,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,5-Apr-21,1002345,Display,558,422,97,31,16,1,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Sep-21,1002345,refferal,556,402,53,22,2,6,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Jul-21,1002345,Direct,552,430,84,39,10,9,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Oct-21,1002345,refferal,571,419,98,37,1,6,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,21-Mar-21,1002345,Direct,570,401,111,40,1,1,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Dec-21,1002345,refferal,573,426,106,34,8,5,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Jul-21,1002345,Display,571,419,64,20,3,15,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Sep-21,1002345,Display,563,430,37,21,16,1,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-Jan-21,1002345,Display,566,417,75,31,4,7,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,6-Nov-21,1002345,refferal,577,407,115,36,6,8,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Jan-21,1002345,Direct,574,416,103,20,10,10,10,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,7-Apr-21,1002345,refferal,576,410,72,23,11,3,1,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,3-Aug-21,1002345,Display,555,410,55,40,3,10,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,14-Aug-21,1002345,Display,559,418,76,34,15,10,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Oct-21,1002345,Display,566,403,39,29,4,11,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,9-Sep-21,1002345,Display,568,421,45,35,12,13,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-Nov-21,1002345,Direct,558,417,53,24,13,12,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Oct-21,1002345,Display,575,422,41,32,14,11,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Mar-21,1002345,refferal,571,403,106,38,11,9,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,1-Mar-21,1002345,Direct,556,420,116,21,3,8,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Apr-21,1002345,refferal,552,424,38,29,6,7,1,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,4-Apr-21,1002345,Display,562,417,120,31,14,17,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,22-Jun-21,1002345,Display,564,401,38,29,16,18,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,14-Mar-21,1002345,refferal,572,415,42,30,13,13,4,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,23-Jun-21,1002345,refferal,551,408,93,36,16,14,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,18-Jan-21,1002345,Direct,557,419,81,22,9,17,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,16-Jul-21,1002345,refferal,562,426,77,37,14,2,6,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,22-Nov-21,1002345,Direct,554,415,98,38,10,12,15,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Jan-21,1002345,refferal,558,418,75,35,12,6,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,26-Feb-21,1002345,Direct,561,413,105,36,5,6,10,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,14-May-21,1002345,Display,570,423,42,33,12,7,10,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-May-21,1002345,Display,565,426,110,38,5,16,2,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,30-Jan-21,1002345,Display,553,403,56,33,12,16,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,25-Apr-21,1002345,Direct,556,422,47,22,4,7,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-Sep-21,1002345,Display,579,415,66,40,9,3,3,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,15-May-21,1002345,refferal,564,405,99,35,9,8,14,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,17-Oct-21,1002345,Direct,568,420,30,26,8,18,12,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,21-Nov-21,1002345,refferal,571,419,58,26,7,7,7,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,8-Nov-21,1002345,refferal,571,412,110,20,10,3,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,2-Sep-21,1002345,Direct,556,404,42,39,7,4,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,11-Sep-21,1002345,Direct,563,414,116,36,12,8,8,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,14-Mar-21,1002345,refferal,572,415,60,29,3,6,9,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,12-Jun-21,1002345,Direct,574,418,94,24,5,1,13,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Apr-21,1002345,Direct,563,415,102,20,14,10,11,1-Jan-21,20-Dec-21,YTD
www.gov.in,1,India,19-Sep-21,1002345,Direct,563,423,60,36,8,10,9,1-Jan-21,20-Dec-21,YTD
