Closer Date	Complain Type	Complain	Customer Id	Final	Final detail	Last date	Month	Month date	Name-Mont	Reason	Status	Ticket ID	Wait time s	Week	Call Response	Call Time sec	Complain and date duration	Final Score	Hour	Joining Duration	Monthcount	Resolution Provide	Response time sec	Technical Knowledge
10/17/2021	Data Speed Issue	10/17/2021	S0001	Retain	FCR		Oct	10/13/2021	S0001-10		Close	T3-3012	> 60	Week-42	2	268		4	17		10	5	142	4
11/13/2021	Weak indoor Coverage	11/13/2021	S0001	Retain	FCR		Nov	11/12/2021	S0001-11		Close	T3-3013	> 60	Week-46	0	283		2	18		11	4	76	3
12/13/2021	Msg related	12/13/2021	S0001	Retain	FCR		Dec	12/12/2021	S0001-12		Close	T3-3016	50-60	Week-51	2	139		4	12		12	5	53	4
12/16/2021	Data Speed Issue	12/16/2021	S0001	Retain	FCR		Dec	12/12/2021	S0001-12		Close	T3-3015	50-60	Week-51	2	597		3	16		12	4	53	3
12/19/2021	Call Quality	12/19/2021	S0001	Retain	FCR		Dec	12/12/2021	S0001-12		Close	T3-3014	50-60	Week-51	2	308		2	18		12	4	53	0
2/19/2021	Call Quality	2/19/2021	S0001	Retain	FCR		Feb	2/15/2021	S0001-2		Close	T3-3017	50-60	Week-8	2	513		4	6		2	4	57	5
2/22/2021	NW Fluctuation	2/22/2021	S0001	Retain	FCR		Feb	2/15/2021	S0001-2		Close	T3-3018	50-60	Week-8	2	879		4	19		2	5	57	4
3/18/2021	Data Speed Issue	3/18/2021	S0001	Retain	FCR		Mar	3/17/2021	S0001-3		Close	T3-3019	> 60	Week-12	1	727		3	6		3	5	70	2
5/17/2021	Internet Not Working/Mobile setting	5/17/2021	S0001	Retain	FCR		May	5/16/2021	S0001-5		Close	T3-3022	> 60	Week-21	0	314		3	20		5	5	96	4
5/20/2021	Data Speed Issue	5/20/2021	S0001	Retain	FCR		May	5/16/2021	S0001-5		Close	T3-3021	> 60	Week-21	2	298		3	21		5	5	96	3
5/23/2021	Call Quality	5/23/2021	S0001	Retain	FCR		May	5/16/2021	S0001-5		Close	T3-3020	> 60	Week-21	2	664		4	18		5	5	96	5
7/16/2021	Internet Not Working/Mobile setting	7/16/2021	S0001	Retain	FCR		Jul	7/15/2021	S0001-7		Close	T3-3023	> 60	Week-29	2	304		2	23		7	4	67	0
8/18/2021	Data Speed Issue	8/18/2021	S0001	Retain	FCR		Aug	8/14/2021	S0001-8		Close	T3-3024	> 60	Week-33	0	266		3	9		8	5	99	5
9/14/2021	NW Fluctuation	9/14/2021	S0001	Retain	FCR		Sep	9/13/2021	S0001-9		Close	T3-3026	> 60	Week-38	3	557		3	10		9	5	132	2
9/17/2021	Data Speed Issue	9/17/2021	S0001	Retain	FCR		Sep	9/13/2021	S0001-9		Close	T3-3025	> 60	Week-38	1	171		3	17		9	4	132	4
10/18/2021	Coverage Issue	10/18/2021	S0002	Retain	FCR		Oct	10/17/2021	S0002-10		Close	T3-3027	> 60	Week-43	2	401		4	6		10	4	90	5
2/23/2021	Call Quality	2/23/2021	S0002	Retain	FCR		Feb	2/19/2021	S0002-2		Close	T3-3028	> 60	Week-8	3	462		4	14		2	4	144	5
2/26/2021	Simcard issue	2/26/2021	S0002	Retain	FCR		Feb	2/19/2021	S0002-2		Close	T3-3029	> 60	Week-8	1	165		4	2		2	5	144	5
