Customer Category	Customer Id	Data Utilization	Date	Gender	Month Name	Region	Services	State	Week	Age	Call Quality	Capacity	Data traffic	Employee cost	Maintanace cost	Marketing Cost	Nw availability	Packet loss	Plan	Thpt	Total Cost	Utilization	Utilization data
Retain	S0001	< 90 % Utilize	1/16/2021	Male	Jan	South	"Voice,Data"	Andhra Pradesh	Week-3	19	3	45	40	43	79	68	93.56	2.36	199	2541.17	190	64.17	88.89
Retain	S0001	< 90 % Utilize	2/15/2021	Male	Feb	South	"Voice,Data"	Andhra Pradesh	Week-8	19	2	45	40	46	79	50	91.88	1.88	199	1921.64	175	66	88.89
Retain	S0001	< 90 % Utilize	3/17/2021	Male	Mar	South	"Voice,Data"	Andhra Pradesh	Week-12	19	3	45	33	40	67	89	97.64	2.87	199	2764.63	196	65.33	73.33
Retain	S0001	< 90 % Utilize	4/16/2021	Male	Apr	South	"Voice,Data"	Andhra Pradesh	Week-16	19	0	45	39	78	94	75	97.92	0	199	3407.8	247	65.43	86.67
Retain	S0001	< 90 % Utilize	5/16/2021	Male	May	South	"Voice,Data"	Andhra Pradesh	Week-21	19	2	45	39	77	95	55	89.62	1.64	199	1745.43	227	63.71	86.67
Retain	S0001	< 90 % Utilize	6/15/2021	Male	Jun	South	"Voice,Data"	Andhra Pradesh	Week-25	19	3	45	40	76	48	57	88	2.67	199	2332.54	181	63	88.89
Retain	S0001	< 90 % Utilize	7/15/2021	Male	Jul	South	"Voice,Data"	Andhra Pradesh	Week-29	19	1	45	36	94	51	62	92.8	0.31	199	2491.49	207	70.17	80.00
Retain	S0001	> 90% Utilize	8/14/2021	Male	Aug	South	"Voice,Data"	Andhra Pradesh	Week-33	19	3	45	41	73	49	60	94.5	2.42	199	1411.73	182	68.83	91.11
Retain	S0001	< 90 % Utilize	9/13/2021	Male	Sep	South	"Voice,Data"	Andhra Pradesh	Week-38	19	3	45	28	55	85	78	91.59	2.34	199	2054.58	218	66.8	62.22
Retain	S0001	> 90% Utilize	10/13/2021	Male	Oct	South	"Voice,Data"	Andhra Pradesh	Week-42	19	2	45	41	49	53	79	98.91	2	199	1124.43	181	61.33	91.11
Retain	S0001	< 90 % Utilize	11/12/2021	Male	Nov	South	"Voice,Data"	Andhra Pradesh	Week-46	19	0	45	25	51	64	86	91.35	0	199	4169.19	201	57	55.56
Retain	S0001	< 90 % Utilize	12/12/2021	Male	Dec	South	"Voice,Data"	Andhra Pradesh	Week-51	19	2	45	37	88	65	84	93.41	1.77	199	1869.6	237	65.5	82.22
Retain	S0002	< 90 % Utilize	1/20/2021	Male	Jan	South	"Voice,Data"	Andhra Pradesh	Week-4	21	1	45	37	64	48	82	97.69	1	199	2700.81	194	18.5	82.22
Retain	S0002	< 90 % Utilize	2/19/2021	Male	Feb	South	"Voice,Data"	Andhra Pradesh	Week-8	21	3	45	30	88	51	57	90.93	3	199	1815.45	196	15	66.67
Retain	S0002	< 90 % Utilize	3/21/2021	Male	Mar	South	"Voice,Data"	Andhra Pradesh	Week-13	21	0	45	37	40	99	83	90.38	0	199	4199.36	222	18.5	82.22
Retain	S0002	> 90% Utilize	4/20/2021	Male	Apr	South	"Voice,Data"	Andhra Pradesh	Week-17	21	2	45	42	82	72	62	95.3	1.34	199	2193.22	216	21	93.33
Retain	S0002	< 90 % Utilize	5/20/2021	Male	May	South	"Voice,Data"	Andhra Pradesh	Week-21	21	2	45	39	89	67	85	97.66	1.81	199	2102.76	241	19.5	86.67
Retain	S0002	< 90 % Utilize	6/19/2021	Male	Jun	South	"Voice,Data"	Andhra Pradesh	Week-25	21	1	45	40	90	65	68	89.41	0.9	199	2119.25	223	20	88.89
Retain	S0002	< 90 % Utilize	7/19/2021	Male	Jul	South	"Voice,Data"	Andhra Pradesh	Week-30	21	2	45	26	70	74	63	85.32	1.84	199	1115.4	207	13	57.78
Retain	S0002	< 90 % Utilize	8/18/2021	Male	Aug	South	"Voice,Data"	Andhra Pradesh	Week-34	21	2	45	33	41	67	64	95.58	1.75	199	2065.55	172	16.5	73.33
Retain	S0002	< 90 % Utilize	9/17/2021	Male	Sep	South	"Voice,Data"	Andhra Pradesh	Week-38	21	1	45	33	43	67	64	96.46	0.31	199	2208.56	174	16.5	73.33
Retain	S0002	< 90 % Utilize	10/17/2021	Male	Oct	South	"Voice,Data"	Andhra Pradesh	Week-43	21	1	45	35	92	100	87	93.43	1	199	1990.89	279	17.5	77.78
Retain	S0002	< 90 % Utilize	11/16/2021	Male	Nov	South	"Voice,Data"	Andhra Pradesh	Week-47	21	0	45	37	89	71	59	98	0	199	4783.21	219	18.5	82.22
Retain	S0002	> 90% Utilize	12/16/2021	Male	Dec	South	"Voice,Data"	Andhra Pradesh	Week-51	21	0	45	45	63	93	89	92.84	0	199	2341.82	245	22.5	100.00
Retain	S0003	Voice User Only	1/13/2021	Female	Jan	South	"text,voice"	Andhra Pradesh	Week-3	46	0			70	61	88	95.83	0	149	2227.37	219	62	
Retain	S0003	Voice User Only	2/12/2021	Female	Feb	South	"text,voice"	Andhra Pradesh	Week-7	46	3			48	48	91	93.89	3	149	2086.88	187	81	
Retain	S0003	Voice User Only	3/14/2021	Female	Mar	South	"text,voice"	Andhra Pradesh	Week-12	46	3			59	44	88	91.69	2.66	149	1568.15	191	60	
Retain	S0003	Voice User Only	4/13/2021	Female	Apr	South	"text,voice"	Andhra Pradesh	Week-16	46	3			93	51	50	94.79	2.48	149	1178.18	194	78	
Retain	S0003	Voice User Only	5/13/2021	Female	May	South	"text,voice"	Andhra Pradesh	Week-20	46	3			100	86	95	92.57	2.63	149	1023.84	281	68	
Retain	S0003	Voice User Only	6/12/2021	Female	Jun	South	"text,voice"	Andhra Pradesh	Week-24	46	3			51	77	98	97.99	3	149	1941.47	226	77	
Retain	S0003	Voice User Only	7/12/2021	Female	Jul	South	"text,voice"	Andhra Pradesh	Week-29	46	2			77	46	75	85.95	1.54	149	1632.8	198	48.5	
Retain	S0003	Voice User Only	8/11/2021	Female	Aug	South	"text,voice"	Andhra Pradesh	Week-33	46	1			95	54	68	88.58	0.32	149	2316.76	217	45.5	
Retain	S0003	Voice User Only	9/10/2021	Female	Sep	South	"text,voice"	Andhra Pradesh	Week-37	46	3			95	68	82	97.79	3	149	1720.68	245	52.5	
Retain	S0003	Voice User Only	10/10/2021	Female	Oct	South	"text,voice"	Andhra Pradesh	Week-42	46	2			46	70	89	94.94	1.82	149	1004.28	205	46.5	
Retain	S0003	Voice User Only	11/9/2021	Female	Nov	South	"text,voice"	Andhra Pradesh	Week-46	46	1			100	72	79	98.5	0.51	149	2665.45	251	48.5	
Retain	S0003	Voice User Only	12/9/2021	Female	Dec	South	"text,voice"	Andhra Pradesh	Week-50	46	2			63	92	71	92.67	1.83	149	1633.43	226	47	
Retain	S0004	> 90% Utilize	1/21/2021	Female	Jan	South	"text,voice,data,Video"	Andhra Pradesh	Week-4	19	3	75	68	49	75	64	95.76	3	299	1851.62	188	68	90.67
Retain	S0004	< 90 % Utilize	2/20/2021	Female	Feb	South	"text,voice,data,Video"	Andhra Pradesh	Week-8	19	3	75	55	52	71	66	91.57	2.39	299	1678.24	189	55	73.33
Retain	S0004	> 90% Utilize	3/22/2021	Female	Mar	South	"text,voice,data,Video"	Andhra Pradesh	Week-13	19	3	75	71	85	90	86	94.99	2.9	299	894.29	261	71	94.67
Retain	S0004	> 90% Utilize	4/21/2021	Female	Apr	South	"text,voice,data,Video"	Andhra Pradesh	Week-17	19	3	75	73	45	60	86	95.59	2.39	299	2070.31	191	73	97.33
Retain	S0004	< 90 % Utilize	5/21/2021	Female	May	South	"text,voice,data,Video"	Andhra Pradesh	Week-21	19	3	75	66	68	94	56	93.74	2.59	299	2574.19	218	66	88.00
Retain	S0004	> 90% Utilize	6/20/2021	Female	Jun	South	"text,voice,data,Video"	Andhra Pradesh	Week-26	19	1	75	71	90	45	79	88.89	0.82	299	2588.22	214	71	94.67
Retain	S0004	< 90 % Utilize	7/20/2021	Female	Jul	South	"text,voice,data,Video"	Andhra Pradesh	Week-30	19	3	75	61	66	63	59	90.53	2.45	299	2103.73	188	61	81.33
Retain	S0004	< 90 % Utilize	8/19/2021	Female	Aug	South	"text,voice,data,Video"	Andhra Pradesh	Week-34	19	2	75	64	94	59	56	90.72	1.67	299	1900.32	209	64	85.33
Retain	S0004	< 90 % Utilize	9/18/2021	Female	Sep	South	"text,voice,data,Video"	Andhra Pradesh	Week-38	19	0	75	61	71	71	83	97.36	0	299	4672.51	225	61	81.33
Retain	S0004	> 90% Utilize	10/18/2021	Female	Oct	South	"text,voice,data,Video"	Andhra Pradesh	Week-43	19	1	75	72	75	85	78	97.76	0.53	299	2561.42	238	72	96.00
Retain	S0004	< 90 % Utilize	11/17/2021	Female	Nov	South	"text,voice,data,Video"	Andhra Pradesh	Week-47	19	2	75	65	67	55	57	91	1.3	299	1120.31	179	45	86.67
Retain	S0004	< 90 % Utilize	12/17/2021	Female	Dec	South	"text,voice,data,Video"	Andhra Pradesh	Week-51	19	0	75	66	81	63	92	94.42	0	299	4903.29	236	52.5	88.00
Retain	S0005	< 90 % Utilize	1/24/2021	Female	Jan	South	"Voice,Data"	Andhra Pradesh	Week-5	36	1	105	85	94	44	51	90.93	0.38	399	2541.79	189	93	80.95
Retain	S0005	< 90 % Utilize	2/23/2021	Female	Feb	South	"Voice,Data"	Andhra Pradesh	Week-9	36	3	105	85	99	57	78	92.83	2.68	399	2389.85	234	93.5	80.95
Retain	S0005	> 90% Utilize	3/25/2021	Female	Mar	South	"Voice,Data"	Andhra Pradesh	Week-13	36	3	105	104	45	83	53	91.57	2.89	399	995.79	181	97	99.05
Retain	S0005	> 90% Utilize	4/24/2021	Female	Apr	South	"Voice,Data"	Andhra Pradesh	Week-17	36	3	105	102	82	68	87	91.94	2.82	399	1355.61	237	103	97.14
Retain	S0005	< 90 % Utilize	5/24/2021	Female	May	South	"Voice,Data"	Andhra Pradesh	Week-22	36	1	105	94	83	82	60	90.37	0.68	399	2436.48	225	97.5	89.52
Retain	S0005	> 90% Utilize	6/23/2021	Female	Jun	South	"Voice,Data"	Andhra Pradesh	Week-26	36	0	105	98	83	78	73	90.99	0	399	2447.15	234	101.5	93.33
Retain	S0005	< 90 % Utilize	7/23/2021	Female	Jul	South	"Voice,Data"	Andhra Pradesh	Week-30	36	1	105	92	42	63	74	94.37	0.89	399	2785.22	179	98	87.62
Retain	S0005	< 90 % Utilize	8/22/2021	Female	Aug	South	"Voice,Data"	Andhra Pradesh	Week-35	36	0	105	85	47	81	85	90.64	0	399	4412.17	213	93.5	80.95
Retain	S0005	< 90 % Utilize	9/21/2021	Female	Sep	South	"Voice,Data"	Andhra Pradesh	Week-39	36	3	105	93	96	86	73	89.65	3	399	2245.49	255	93	88.57
Retain	S0005	< 90 % Utilize	10/21/2021	Female	Oct	South	"Voice,Data"	Andhra Pradesh	Week-43	36	0	105	93	91	65	60	91.66	0	399	4125.35	216	91	88.57
Retain	S0005	> 90% Utilize	11/20/2021	Female	Nov	South	"Voice,Data"	Andhra Pradesh	Week-47	36	1	105	102	71	82	95	89.77	0.82	399	2260.31	248	100	97.14
Retain	S0005	> 90% Utilize	12/20/2021	Female	Dec	South	"Voice,Data"	Andhra Pradesh	Week-52	36	1	105	101	53	55	57	89.33	0.38	399	2578.36	165	102.5	96.19
Retain	S0006	> 90% Utilize	1/14/2021	Male	Jan	South	"text,voice,data,Video"	Andhra Pradesh	Week-3	20	3	75	68	89	44	75	89.34	3	299	971.67	208	84	90.67
