Port,Service level,TPT,Origin Port,Carrier,Order ID,Order Date,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,minm_wgh_qty,max_wgh_qty,minimum cost,rate,mode_dsc,Distance,Vehicle Used,Milage,Daily Capacity,Cost/unit,Total Years
PORT04-PORT09,DTP,2,PORT04,V444_0,1447215485,16-Mar-21,3,0,V55555555_5,1699946,PLANT03,PORT09,348,0,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_4,1447336277,10-Jun-21,3,0,V555555_6,1658528,PLANT03,PORT09,361,0,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447179686,30-Apr-21,3,0,V55555_2,1676853,PLANT03,PORT09,268,0.002641625,0,0.5,2.6175,0.7425,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_1,1447410885,22-Jan-21,3,0,V55555_2,1651299,PLANT03,PORT09,239,0.006084584,0,0.5,2.6175,0.7425,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447231117,2-Jun-21,3,0,V55555_4,1650568,PLANT03,PORT09,312,0.008386469,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447251022,9-Apr-21,3,0,V55555_4,1650568,PLANT03,PORT09,271,0.008386469,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_0,1447231115,6-Sep-21,3,0,V55555_4,1650568,PLANT03,PORT09,268,0.008386469,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447224311,8-Jan-21,5,0,V55555555_7,1669409,PLANT03,PORT09,239,0.008854927,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTP,1,PORT04,V444_0,1447320506,23-Apr-21,0,0,V5555555_22,1676566,PLANT03,PORT09,256,0.010495376,0.01,0.5,2.25375,0.37875,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTP,2,PORT04,V444_1,1447418493,5-Feb-21,5,0,V55555555_7,1668545,PLANT03,PORT09,235,0.010565803,0,99.99,2.8125,0.09,AIR,260,7,13,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447284400,28-Aug-21,3,1,V555_15,1676853,PLANT03,PORT09,241,0.010566502,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,2,PORT04,V444_5,1447215328,24-Aug-21,3,0,V55555_4,1696075,PLANT03,PORT09,285,0.011657029,0,99.99,2.8125,0.09,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTP,1,PORT04,V444_4,1447369448,11-Oct-21,1,0,V555555555555555555_17,1687644,PLANT03,PORT09,317,0.012720776,0.01,0.5,2.25375,0.37875,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,1,PORT04,V444_2,1447373476,13-Apr-21,3,0,V55555_2,1696073,PLANT03,PORT09,335,0.01297592,0,0.5,2.6175,0.7425,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_4,1447284401,15-Apr-21,3,1,V555_15,1676853,PLANT03,PORT09,293,0.013208127,0,99.99,2.8125,0.09,AIR,260,8,11,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_5,1447195161,4-Sep-21,3,0,V55555_2,1666954,PLANT03,PORT09,249,0.013724905,0,99.99,2.8125,0.09,GROUND,284,3,15,1013,0.233,15
PORT04-PORT09,DTP,2,PORT04,V444_0,1447369902,23-Oct-21,0,0,V555555555_27,1692115,PLANT03,PORT09,236,0.014015661,0,99.99,2.8125,0.09,AIR,260,5,14,1013,0.233,13
PORT04-PORT09,DTD,2,PORT04,V444_2,1447199223,19-May-21,0,0,V555555555_27,1695345,PLANT03,PORT09,282,0.015087662,0,99.99,2.8125,0.09,GROUND,284,6,12,1013,0.233,15
PORT04-PORT09,DTD,1,PORT04,V444_2,1447187237,30-Apr-21,3,0,V55555_2,1697086,PLANT03,PORT09,279,0.015916943,0,0.5,2.6175,0.7425,GROUND,284,6,12,1013,0.233,15
